a,b,c,model,accuracy,std
0.7,0.5,0.1,eta0,0.923,0.004
0.7,0.5,0.1,eta0_bench,0.889,0.006
0.7,0.5,0.1,eta1,0.811,0.006
0.7,0.5,0.1,eta1_bench,0.518,0.013
0.7,0.5,0.1,eta_bench,0.781,0.006
0.7,0.5,0.1,gemma,0.772,0.006
0.7,0.5,0.2,eta,0.894,0.003
0.7,0.5,0.2,eta0,0.933,0.005
0.7,0.5,0.2,eta0_bench,0.918,0.006
0.7,0.5,0.2,eta1,0.811,0.006
0.7,0.5,0.2,eta1_bench,0.53,0.017
0.7,0.5,0.2,eta_bench,0.795,0.006
0.7,0.5,0.2,gemma,0.791,0.007
0.7,0.5,0.3,eta,0.892,0.003
0.7,0.5,0.3,eta0,0.934,0.004
0.7,0.5,0.3,eta0_bench,0.928,0.005
0.7,0.5,0.3,eta1,0.811,0.006
0.7,0.5,0.3,eta1_bench,0.541,0.02
0.7,0.5,0.3,eta_bench,0.794,0.009
0.7,0.5,0.3,gemma,0.798,0.009
0.7,0.5,0.4,eta,0.888,0.002
0.7,0.5,0.4,eta0,0.934,0.005
0.7,0.5,0.4,eta0_bench,0.932,0.005
0.7,0.5,0.4,eta1,0.811,0.006
0.7,0.5,0.4,eta1_bench,0.549,0.018
0.7,0.5,0.4,eta_bench,0.788,0.008
0.7,0.5,0.4,gemma,0.798,0.009
0.7,0.5,0.5,eta,0.881,0.003
0.7,0.5,0.5,eta0,0.93,0.003
0.7,0.5,0.5,eta0_bench,0.931,0.003
0.7,0.5,0.5,eta1,0.811,0.006
0.7,0.5,0.5,eta1_bench,0.551,0.015
0.7,0.5,0.5,eta_bench,0.774,0.007
0.7,0.5,0.5,gemma,0.795,0.009
0.7,0.5,0.6,eta,0.872,0.004
0.7,0.5,0.6,eta0,0.923,0.004
0.7,0.5,0.6,eta0_bench,0.926,0.004
0.7,0.5,0.6,eta1,0.811,0.006
0.7,0.5,0.6,eta1_bench,0.549,0.013
