a,b,c,model,accuracy,std
0.7,0.1,0.5,eta0,0.904,0.007
0.7,0.1,0.5,eta0_bench,0.891,0.007
0.7,0.1,0.5,eta1,0.811,0.006
0.7,0.1,0.5,eta1_bench,0.449,0.022
0.7,0.1,0.5,eta_bench,0.709,0.011
0.7,0.1,0.5,gemma,0.776,0.015
0.7,0.2,0.5,eta,0.874,0.004
0.7,0.2,0.5,eta0,0.915,0.005
0.7,0.2,0.5,eta0_bench,0.912,0.005
0.7,0.2,0.5,eta1,0.811,0.006
0.7,0.2,0.5,eta1_bench,0.492,0.02
0.7,0.2,0.5,eta_bench,0.739,0.009
0.7,0.2,0.5,gemma,0.78,0.011
0.7,0.3,0.5,eta,0.877,0.004
0.7,0.3,0.5,eta0,0.92,0.005
0.7,0.3,0.5,eta0_bench,0.921,0.005
0.7,0.3,0.5,eta1,0.811,0.006
0.7,0.3,0.5,eta1_bench,0.52,0.018
0.7,0.3,0.5,eta_bench,0.756,0.008
0.7,0.3,0.5,gemma,0.787,0.009
0.7,0.4,0.5,eta,0.88,0.003
0.7,0.4,0.5,eta0,0.926,0.003
0.7,0.4,0.5,eta0_bench,0.928,0.004
0.7,0.4,0.5,eta1,0.811,0.006
0.7,0.4,0.5,eta1_bench,0.536,0.016
0.7,0.4,0.5,eta_bench,0.766,0.008
0.7,0.4,0.5,gemma,0.79,0.007
0.7,0.5,0.5,eta,0.881,0.003
0.7,0.5,0.5,eta0,0.93,0.003
0.7,0.5,0.5,eta0_bench,0.931,0.003
0.7,0.5,0.5,eta1,0.811,0.006
0.7,0.5,0.5,eta1_bench,0.551,0.015
0.7,0.5,0.5,eta_bench,0.774,0.007
0.7,0.5,0.5,gemma,0.795,0.009
0.7,0.6,0.5,eta,0.884,0.002
0.7,0.6,0.5,eta0,0.936,0.003
0.7,0.6,0.5,eta0_bench,0.934,0.003
0.7,0.6,0.5,eta1,0.811,0.006
0.7,0.6,0.5,eta1_bench,0.563,0.016
0.7,0.6,0.5,eta_bench,0.782,0.009
0.7,0.6,0.5,gemma,0.798,0.008
0.7,0.7,0.5,eta,0.887,0.002
0.7,0.7,0.5,eta0,0.945,0.003
0.7,0.7,0.5,eta0_bench,0.938,0.003
0.7,0.7,0.5,eta1,0.811,0.006
0.7,0.7,0.5,eta1_bench,0.571,0.018
0.7,0.7,0.5,eta_bench,0.788,0.009
0.7,0.7,0.5,gemma,0.801,0.008
0.7,0.8,0.5,eta,0.89,0.003
0.7,0.8,0.5,eta0,0.952,0.004
0.7,0.8,0.5,eta0_bench,0.939,0.004
0.7,0.8,0.5,eta1,0.811,0.006
0.7,0.8,0.5,eta1_bench,0.581,0.013
0.7,0.8,0.5,eta_bench,0.791,0.007
0.7,0.8,0.5,gemma,0.802,0.008
0.7,0.9,0.5,eta,0.896,0.003
0.7,0.9,0.5,eta0,0.964,0.003
0.7,0.9,0.5,eta0_bench,0.943,0.004
0.7,0.9,0.5,eta1,0.811,0.006
0.7,0.9,0.5,eta1_bench,0.589,0.011
0.7,0.9,0.5,eta_bench,0.796,0.006
0.7,0.9,0.5,gemma,0.806,0.007
