a,b,c,model,f,std
0.5,0.5,0.7,gemma,0.71,0.017
0.5,0.5,0.8,eta,0.809,0.005
0.5,0.5,0.8,eta0,0.773,0.017
0.5,0.5,0.8,eta0_bench,0.744,0.017
0.5,0.5,0.8,eta1,0.812,0.005
0.5,0.5,0.8,eta1_bench,0.528,0.02
0.5,0.5,0.8,eta_bench,0.605,0.015
0.5,0.5,0.8,gemma,0.73,0.017
0.5,0.5,0.9,eta,0.815,0.005
0.5,0.5,0.9,eta0,0.816,0.018
0.5,0.5,0.9,eta0_bench,0.752,0.022
0.5,0.5,0.9,eta1,0.812,0.005
0.5,0.5,0.9,eta1_bench,0.527,0.024
0.5,0.5,0.9,eta_bench,0.606,0.016
0.5,0.5,0.9,gemma,0.753,0.017
0.7,0.5,0.1,eta,0.812,0.004
0.7,0.5,0.1,eta0,0.577,0.017
0.7,0.5,0.1,eta0_bench,0.509,0.016
0.7,0.5,0.1,eta1,0.873,0.004
0.7,0.5,0.1,eta1_bench,0.453,0.023
0.7,0.5,0.1,eta_bench,0.492,0.016
0.7,0.5,0.1,gemma,0.511,0.016
0.7,0.5,0.2,eta,0.826,0.004
0.7,0.5,0.2,eta0,0.624,0.019
0.7,0.5,0.2,eta0_bench,0.592,0.022
0.7,0.5,0.2,eta1,0.873,0.004
0.7,0.5,0.2,eta1_bench,0.473,0.03
0.7,0.5,0.2,eta_bench,0.528,0.02
0.7,0.5,0.2,gemma,0.56,0.021
0.7,0.5,0.3,eta,0.834,0.004
0.7,0.5,0.3,eta0,0.652,0.013
0.7,0.5,0.3,eta0_bench,0.64,0.018
0.7,0.5,0.3,eta1,0.873,0.004
0.7,0.5,0.3,eta1_bench,0.491,0.034
0.7,0.5,0.3,eta_bench,0.551,0.025
0.7,0.5,0.3,gemma,0.601,0.025
0.7,0.5,0.4,eta,0.841,0.003
0.7,0.5,0.4,eta0,0.68,0.019
0.7,0.5,0.4,eta0_bench,0.679,0.019
0.7,0.5,0.4,eta1,0.873,0.004
0.7,0.5,0.4,eta1_bench,0.504,0.029
0.7,0.5,0.4,eta_bench,0.568,0.023
0.7,0.5,0.4,gemma,0.63,0.024
0.7,0.5,0.5,eta,0.846,0.004
0.7,0.5,0.5,eta0,0.702,0.015
0.7,0.5,0.5,eta0_bench,0.704,0.015
0.7,0.5,0.5,eta1,0.873,0.004
0.7,0.5,0.5,eta1_bench,0.507,0.025
0.7,0.5,0.5,eta_bench,0.576,0.019
0.7,0.5,0.5,gemma,0.655,0.02
0.7,0.5,0.6,eta,0.85,0.005
0.7,0.5,0.6,eta0,0.721,0.016
0.7,0.5,0.6,eta0_bench,0.722,0.018
0.7,0.5,0.6,eta1,0.873,0.004
0.7,0.5,0.6,eta1_bench,0.504,0.021
0.7,0.5,0.6,eta_bench,0.577,0.019
0.7,0.5,0.6,gemma,0.676,0.021
0.7,0.5,0.7,eta,0.855,0.005
0.7,0.5,0.7,eta0,0.748,0.02
0.7,0.5,0.7,eta0_bench,0.734,0.016
0.7,0.5,0.7,eta1,0.873,0.004
0.7,0.5,0.7,eta1_bench,0.5,0.018
0.7,0.5,0.7,eta_bench,0.578,0.016
0.7,0.5,0.7,gemma,0.699,0.021
0.7,0.5,0.8,eta,0.859,0.005
0.7,0.5,0.8,eta0,0.773,0.017
0.7,0.5,0.8,eta0_bench,0.744,0.017
0.7,0.5,0.8,eta1,0.873,0.004
0.7,0.5,0.8,eta1_bench,0.498,0.02
0.7,0.5,0.8,eta_bench,0.576,0.016
0.7,0.5,0.8,gemma,0.723,0.019
0.7,0.5,0.9,eta,0.866,0.004
0.7,0.5,0.9,eta0,0.816,0.018
0.7,0.5,0.9,eta0_bench,0.752,0.022
0.7,0.5,0.9,eta1,0.873,0.004
0.7,0.5,0.9,eta1_bench,0.496,0.023
0.7,0.5,0.9,eta_bench,0.576,0.017
0.7,0.5,0.9,gemma,0.752,0.019
