a,b,c,model,f,std
0.7,0.1,0.5,eta0,0.933,0.003
0.7,0.1,0.5,eta0_bench,0.817,0.006
0.7,0.1,0.5,eta1,0.972,0.0
0.7,0.1,0.5,eta1_bench,0.168,0.031
0.7,0.1,0.5,eta_bench,0.603,0.009
0.7,0.1,0.5,gemma,0.956,0.001
0.7,0.2,0.5,eta,0.957,0.001
0.7,0.2,0.5,eta0,0.929,0.001
0.7,0.2,0.5,eta0_bench,0.893,0.003
0.7,0.2,0.5,eta1,0.972,0.0
0.7,0.2,0.5,eta1_bench,0.156,0.02
0.7,0.2,0.5,eta_bench,0.75,0.003
0.7,0.2,0.5,gemma,0.956,0.001
0.7,0.3,0.5,eta,0.956,0.001
0.7,0.3,0.5,eta0,0.921,0.002
0.7,0.3,0.5,eta0_bench,0.91,0.003
0.7,0.3,0.5,eta1,0.972,0.0
0.7,0.3,0.5,eta1_bench,0.133,0.017
0.7,0.3,0.5,eta_bench,0.821,0.004
0.7,0.3,0.5,gemma,0.955,0.0
0.7,0.4,0.5,eta,0.954,0.001
0.7,0.4,0.5,eta0,0.912,0.002
0.7,0.4,0.5,eta0_bench,0.91,0.004
0.7,0.4,0.5,eta1,0.972,0.0
0.7,0.4,0.5,eta1_bench,0.104,0.016
0.7,0.4,0.5,eta_bench,0.863,0.004
0.7,0.4,0.5,gemma,0.953,0.0
0.7,0.5,0.5,eta,0.953,0.001
0.7,0.5,0.5,eta0,0.9,0.003
0.7,0.5,0.5,eta0_bench,0.9,0.004
0.7,0.5,0.5,eta1,0.972,0.0
0.7,0.5,0.5,eta1_bench,0.082,0.011
0.7,0.5,0.5,eta_bench,0.89,0.003
0.7,0.5,0.5,gemma,0.952,0.001
0.7,0.6,0.5,eta,0.951,0.001
0.7,0.6,0.5,eta0,0.884,0.004
0.7,0.6,0.5,eta0_bench,0.882,0.003
0.7,0.6,0.5,eta1,0.972,0.0
0.7,0.6,0.5,eta1_bench,0.064,0.01
0.7,0.6,0.5,eta_bench,0.906,0.003
0.7,0.6,0.5,gemma,0.95,0.0
0.7,0.7,0.5,eta,0.949,0.001
0.7,0.7,0.5,eta0,0.859,0.006
0.7,0.7,0.5,eta0_bench,0.849,0.003
0.7,0.7,0.5,eta1,0.972,0.0
0.7,0.7,0.5,eta1_bench,0.051,0.008
0.7,0.7,0.5,eta_bench,0.917,0.002
0.7,0.7,0.5,gemma,0.948,0.001
0.7,0.8,0.5,eta,0.947,0.001
0.7,0.8,0.5,eta0,0.819,0.008
0.7,0.8,0.5,eta0_bench,0.791,0.004
0.7,0.8,0.5,eta1,0.972,0.0
0.7,0.8,0.5,eta1_bench,0.039,0.008
0.7,0.8,0.5,eta_bench,0.926,0.002
0.7,0.8,0.5,gemma,0.946,0.001
0.7,0.9,0.5,eta,0.945,0.001
0.7,0.9,0.5,eta0,0.723,0.034
0.7,0.9,0.5,eta0_bench,0.652,0.004
0.7,0.9,0.5,eta1,0.972,0.0
0.7,0.9,0.5,eta1_bench,0.032,0.008
0.7,0.9,0.5,eta_bench,0.93,0.001
0.7,0.9,0.5,gemma,0.944,0.001
