a,b,c,seed,model,metric,value
0.3,0.1,0.5,7028,eta,ACC,0.8874833555259654
0.3,0.1,0.5,7028,eta_bench,AUC,0.8426364084895633
0.3,0.1,0.5,7028,eta_bench,F,0.7103471585147989
0.3,0.1,0.5,7028,eta_bench,ACC,0.6005992010652463
0.3,0.1,0.5,9082,eta0,AUC,0.8505481998803692
0.3,0.1,0.5,9082,eta0,F,0.9322861388240289
0.3,0.1,0.5,9082,eta0,ACC,0.8786380064675671
0.3,0.1,0.5,9082,eta0_bench,AUC,0.8505481998803692
0.3,0.1,0.5,9082,eta0_bench,F,0.8096146508966043
0.3,0.1,0.5,9082,eta0_bench,ACC,0.7152368270876927
0.3,0.1,0.5,9082,eta1,AUC,0.8405594177953291
0.3,0.1,0.5,9082,eta1,F,0.9417030447035419
0.3,0.1,0.5,9082,eta1,ACC,0.8919389531906177
0.3,0.1,0.5,9082,eta1_bench,AUC,0.6869549206426713
0.3,0.1,0.5,9082,eta1_bench,F,0.19106543624161074
0.3,0.1,0.5,9082,eta1_bench,ACC,0.20987401413499948
0.3,0.1,0.5,9082,eta,AUC,0.8477517594449886
0.3,0.1,0.5,9082,eta,F,0.9402378880185669
0.3,0.1,0.5,9082,eta,ACC,0.8902796271637816
0.3,0.1,0.5,9082,eta_bench,AUC,0.8401871317213301
0.3,0.1,0.5,9082,eta_bench,F,0.6927259368111682
0.3,0.1,0.5,9082,eta_bench,ACC,0.5823568575233022
0.3,0.1,0.5,1349,eta0,AUC,0.8450012124739318
0.3,0.1,0.5,1349,eta0,F,0.9270542801973827
0.3,0.1,0.5,1349,eta0,ACC,0.8706486589309492
0.3,0.1,0.5,1349,eta0_bench,AUC,0.8450012124739318
0.3,0.1,0.5,1349,eta0_bench,F,0.8198820133048826
0.3,0.1,0.5,1349,eta0_bench,ACC,0.7270306258322237
0.3,0.1,0.5,1349,eta1,AUC,0.8356801780631562
0.3,0.1,0.5,1349,eta1,F,0.9410070348418546
0.3,0.1,0.5,1349,eta1,ACC,0.8909146778654102
0.3,0.1,0.5,1349,eta1_bench,AUC,0.6997984785691469
0.3,0.1,0.5,1349,eta1_bench,F,0.2291110654896325
0.3,0.1,0.5,1349,eta1_bench,ACC,0.23076923076923078
0.3,0.1,0.5,1349,eta,AUC,0.8447664139241022
0.3,0.1,0.5,1349,eta,F,0.9385735080058224
0.3,0.1,0.5,1349,eta,ACC,0.8876165113182424
0.3,0.1,0.5,1349,eta_bench,AUC,0.8422257200763965
0.3,0.1,0.5,1349,eta_bench,F,0.7197085889570553
0.3,0.1,0.5,1349,eta_bench,ACC,0.6106524633821572
0.3,0.1,0.5,3282,eta0,AUC,0.8457700826098906
0.3,0.1,0.5,3282,eta0,F,0.9288229644648383
0.3,0.1,0.5,3282,eta0,ACC,0.8731215522160928
0.3,0.1,0.5,3282,eta0_bench,AUC,0.8457700826098906
0.3,0.1,0.5,3282,eta0_bench,F,0.8085106382978723
0.3,0.1,0.5,3282,eta0_bench,ACC,0.7140954917253186
0.3,0.1,0.5,3282,eta1,AUC,0.8385981188620397
0.3,0.1,0.5,3282,eta1,F,0.9408382174057281
0.3,0.1,0.5,3282,eta1,ACC,0.8904025402028065
0.3,0.1,0.5,3282,eta1_bench,AUC,0.6814255428667924
0.3,0.1,0.5,3282,eta1_bench,F,0.19822454308093995
0.3,0.1,0.5,3282,eta1_bench,ACC,0.21366383283826693
0.3,0.1,0.5,3282,eta,AUC,0.845898800750613
0.3,0.1,0.5,3282,eta,F,0.9393047836983763
0.3,0.1,0.5,3282,eta,ACC,0.8887483355525966
0.3,0.1,0.5,3282,eta_bench,AUC,0.8413399215381936
0.3,0.1,0.5,3282,eta_bench,F,0.6991854055899712
0.3,0.1,0.5,3282,eta_bench,ACC,0.5894141145139814
0.3,0.1,0.5,6209,eta0,AUC,0.839074963221624
0.3,0.1,0.5,6209,eta0,F,0.9317124735729386
0.3,0.1,0.5,6209,eta0,ACC,0.8771162259844018
0.3,0.1,0.5,6209,eta0_bench,AUC,0.839074963221624
0.3,0.1,0.5,6209,eta0_bench,F,0.8236914600550965
0.3,0.1,0.5,6209,eta0_bench,ACC,0.7321666349629066
0.3,0.1,0.5,6209,eta1,AUC,0.8371084268714231
0.3,0.1,0.5,6209,eta1,F,0.9417685118619697
0.3,0.1,0.5,6209,eta1,ACC,0.8921438082556591
0.3,0.1,0.5,6209,eta1_bench,AUC,0.6653075923021051
0.3,0.1,0.5,6209,eta1_bench,F,0.14170345644449228
0.3,0.1,0.5,6209,eta1_bench,ACC,0.1835501382771689
0.3,0.1,0.5,6209,eta,AUC,0.8437070439342307
0.3,0.1,0.5,6209,eta,F,0.938745922435665
0.3,0.1,0.5,6209,eta,ACC,0.8874833555259654
0.3,0.1,0.5,6209,eta_bench,AUC,0.8424289989496005
0.3,0.1,0.5,6209,eta_bench,F,0.7069140946751297
0.3,0.1,0.5,6209,eta_bench,ACC,0.5972703062583222
0.3,0.1,0.5,3710,eta0,AUC,0.8471539195240636
0.3,0.1,0.5,3710,eta0,F,0.9312539783577338
0.3,0.1,0.5,3710,eta0,ACC,0.8767357808636104
0.3,0.1,0.5,3710,eta0_bench,AUC,0.8471539195240636
0.3,0.1,0.5,3710,eta0_bench,F,0.8181246066708622
0.3,0.1,0.5,3710,eta0_bench,ACC,0.7251284002282671
0.3,0.1,0.5,3710,eta1,AUC,0.8280602061805331
0.3,0.1,0.5,3710,eta1,F,0.9409224295443219
0.3,0.1,0.5,3710,eta1,ACC,0.8907098228003687
0.3,0.1,0.5,3710,eta1_bench,AUC,0.7032143736355849
0.3,0.1,0.5,3710,eta1_bench,F,0.20928059794456552
0.3,0.1,0.5,3710,eta1_bench,ACC,0.21980948478951143
0.3,0.1,0.5,3710,eta,AUC,0.8440742143127603
0.3,0.1,0.5,3710,eta,F,0.9390080185769747
0.3,0.1,0.5,3710,eta,ACC,0.8880825565912117
0.3,0.1,0.5,3710,eta_bench,AUC,0.8398991115937177
0.3,0.1,0.5,3710,eta_bench,F,0.7096431503211164
0.3,0.1,0.5,3710,eta_bench,ACC,0.5996671105193075
0.3,0.1,0.5,4069,eta0,AUC,0.8464015390335774
0.3,0.1,0.5,4069,eta0,F,0.9347712281436499
0.3,0.1,0.5,4069,eta0,ACC,0.881491344873502
0.3,0.1,0.5,4069,eta0_bench,AUC,0.8464015390335774
0.3,0.1,0.5,4069,eta0_bench,F,0.825793551612097
0.3,0.1,0.5,4069,eta0_bench,ACC,0.7348297508084459
0.3,0.1,0.5,4069,eta1,AUC,0.8384191808525139
0.3,0.1,0.5,4069,eta1,F,0.9413911312617494
0.3,0.1,0.5,4069,eta1,ACC,0.891426815528014
0.3,0.1,0.5,4069,eta1_bench,AUC,0.7120899633985811
0.3,0.1,0.5,4069,eta1_bench,F,0.21065726726104086
0.3,0.1,0.5,4069,eta1_bench,ACC,0.22011676738707364
0.3,0.1,0.5,4069,eta,AUC,0.8463629792121066
0.3,0.1,0.5,4069,eta,F,0.9395089850670716
0.3,0.1,0.5,4069,eta,ACC,0.8886151797603196
0.3,0.1,0.5,4069,eta_bench,AUC,0.8414267489879345
0.3,0.1,0.5,4069,eta_bench,F,0.7038764208685514
0.3,0.1,0.5,4069,eta_bench,ACC,0.5941411451398135
0.3,0.1,0.5,3467,eta0,AUC,0.8435349273323958
0.3,0.1,0.5,3467,eta0,F,0.9349644500209118
0.3,0.1,0.5,3467,eta0,ACC,0.8816815674338977
0.3,0.1,0.5,3467,eta0_bench,AUC,0.8435349273323958
0.3,0.1,0.5,3467,eta0_bench,F,0.8189828801611279
0.3,0.1,0.5,3467,eta0_bench,ACC,0.7264599581510367
0.3,0.1,0.5,3467,eta1,AUC,0.8376092294984242
0.3,0.1,0.5,3467,eta1,F,0.9413978197111393
0.3,0.1,0.5,3467,eta1,ACC,0.8915292430605347
0.3,0.1,0.5,3467,eta1_bench,AUC,0.6663872222595222
0.3,0.1,0.5,3467,eta1_bench,F,0.19355513705796193
0.3,0.1,0.5,3467,eta1_bench,ACC,0.21048857933012394
0.3,0.1,0.5,3467,eta,AUC,0.8429648590827208
0.3,0.1,0.5,3467,eta,F,0.9385482938114517
0.3,0.1,0.5,3467,eta,ACC,0.8868175765645806
0.3,0.1,0.5,3467,eta_bench,AUC,0.8417423068939368
0.3,0.1,0.5,3467,eta_bench,F,0.6999074840531723
0.3,0.1,0.5,3467,eta_bench,ACC,0.5896804260985353
0.3,0.1,0.5,179,eta0,AUC,0.8460109607643437
0.3,0.1,0.5,179,eta0,F,0.9323640960809103
0.3,0.1,0.5,179,eta0,ACC,0.8778771162259844
0.3,0.1,0.5,179,eta0_bench,AUC,0.8460109607643437
0.3,0.1,0.5,179,eta0_bench,F,0.8256467941507311
0.3,0.1,0.5,179,eta0_bench,ACC,0.7346395282480502
0.3,0.1,0.5,179,eta1,AUC,0.8244237667112231
0.3,0.1,0.5,179,eta1,F,0.9418675533388751
0.3,0.1,0.5,179,eta1,ACC,0.892553518385742
0.3,0.1,0.5,179,eta1_bench,AUC,0.7087861716217948
0.3,0.1,0.5,179,eta1_bench,F,0.29010205092638464
0.3,0.1,0.5,179,eta1_bench,ACC,0.26610672948888664
0.3,0.1,0.5,179,eta,AUC,0.8403835678738436
0.3,0.1,0.5,179,eta,F,0.9387059335557812
0.3,0.1,0.5,179,eta,ACC,0.8874833555259654
0.3,0.1,0.5,179,eta_bench,AUC,0.8398768727514725
0.3,0.1,0.5,179,eta_bench,F,0.7175206294377279
0.3,0.1,0.5,179,eta_bench,ACC,0.6079893475366178
0.3,0.1,0.5,2272,eta0,AUC,0.8363981441065683
0.3,0.1,0.5,2272,eta0,F,0.9291304813980916
0.3,0.1,0.5,2272,eta0,ACC,0.8742628875784668
0.3,0.1,0.5,2272,eta0_bench,AUC,0.8363981441065683
0.3,0.1,0.5,2272,eta0_bench,F,0.8120338768802932
0.3,0.1,0.5,2272,eta0_bench,ACC,0.7171390526916492
0.3,0.1,0.5,2272,eta1,AUC,0.8322978529473399
0.3,0.1,0.5,2272,eta1,F,0.9412741462334643
0.3,0.1,0.5,2272,eta1,ACC,0.8913243879954932
0.3,0.1,0.5,2272,eta1_bench,AUC,0.645260635062084
0.3,0.1,0.5,2272,eta1_bench,F,0.21516499431054104
0.3,0.1,0.5,2272,eta1_bench,ACC,0.22288231076513368
0.3,0.1,0.5,2272,eta,AUC,0.8372519800601451
0.3,0.1,0.5,2272,eta,F,0.9393575612063007
0.3,0.1,0.5,2272,eta,ACC,0.8890146471371505
0.3,0.1,0.5,2272,eta_bench,AUC,0.8345542374278045
0.3,0.1,0.5,2272,eta_bench,F,0.7136877555929757
0.3,0.1,0.5,2272,eta_bench,ACC,0.6037949400798934
0.3,0.1,0.5,5755,eta0,AUC,0.8352613285481029
0.3,0.1,0.5,5755,eta0,F,0.9283436104614077
0.3,0.1,0.5,5755,eta0,ACC,0.8717899942933232
0.3,0.1,0.5,5755,eta0_bench,AUC,0.8352613285481029
0.3,0.1,0.5,5755,eta0_bench,F,0.8222333500250375
0.3,0.1,0.5,5755,eta0_bench,ACC,0.7298839642381586
0.3,0.1,0.5,5755,eta1,AUC,0.8310136497453771
0.3,0.1,0.5,5755,eta1,F,0.9412544901906604
0.3,0.1,0.5,5755,eta1,ACC,0.8911195329304517
0.3,0.1,0.5,5755,eta1_bench,AUC,0.6814265601380234
0.3,0.1,0.5,5755,eta1_bench,F,0.25172134467395707
0.3,0.1,0.5,5755,eta1_bench,ACC,0.24306053467171976
0.3,0.1,0.5,5755,eta,AUC,0.8393500667060957
0.3,0.1,0.5,5755,eta,F,0.939278593438463
0.3,0.1,0.5,5755,eta,ACC,0.8884820239680427
0.3,0.1,0.5,5755,eta_bench,AUC,0.8395521773099137
0.3,0.1,0.5,5755,eta_bench,F,0.7121321581659682
0.3,0.1,0.5,5755,eta_bench,ACC,0.602063914780293
0.3,0.1,0.5,868,eta0,AUC,0.85342709798406
0.3,0.1,0.5,868,eta0,F,0.9343308395677473
0.3,0.1,0.5,868,eta0,ACC,0.879779341829941
0.3,0.1,0.5,868,eta0_bench,AUC,0.85342709798406
0.3,0.1,0.5,868,eta0_bench,F,0.810425937698665
0.3,0.1,0.5,868,eta0_bench,ACC,0.7163781624500666
0.3,0.1,0.5,868,eta1,AUC,0.8305832422875583
0.3,0.1,0.5,868,eta1,F,0.9409355106559646
0.3,0.1,0.5,868,eta1,ACC,0.8907098228003687
0.3,0.1,0.5,868,eta1_bench,AUC,0.721147746439042
0.3,0.1,0.5,868,eta1_bench,F,0.17843944673212964
0.3,0.1,0.5,868,eta1_bench,ACC,0.2030113694561098
0.3,0.1,0.5,868,eta,AUC,0.8438320070346507
0.3,0.1,0.5,868,eta,F,0.939689418562658
0.3,0.1,0.5,868,eta,ACC,0.888814913448735
0.3,0.1,0.5,868,eta_bench,AUC,0.8419258920832016
0.3,0.1,0.5,868,eta_bench,F,0.6850975753991722
0.3,0.1,0.5,868,eta_bench,ACC,0.5745672436750998
0.3,0.1,0.5,1325,eta0,AUC,0.8521826147404498
0.3,0.1,0.5,1325,eta0,F,0.9330517423442449
0.3,0.1,0.5,1325,eta0,ACC,0.8793988967091497
0.3,0.1,0.5,1325,eta0_bench,AUC,0.8521826147404498
0.3,0.1,0.5,1325,eta0_bench,F,0.8103032610074864
0.3,0.1,0.5,1325,eta0_bench,ACC,0.7156172722084839
0.3,0.1,0.5,1325,eta1,AUC,0.8291913100622366
0.3,0.1,0.5,1325,eta1,F,0.9421779988944169
0.3,0.1,0.5,1325,eta1,ACC,0.8928608009833043
0.3,0.1,0.5,1325,eta1_bench,AUC,0.7023189714980946
0.3,0.1,0.5,1325,eta1_bench,F,0.1914246776391655
0.3,0.1,0.5,1325,eta1_bench,ACC,0.20997644166752022
0.3,0.1,0.5,1325,eta,AUC,0.8463370269421697
0.3,0.1,0.5,1325,eta,F,0.9400854886618851
0.3,0.1,0.5,1325,eta,ACC,0.8898801597869508
0.3,0.1,0.5,1325,eta_bench,AUC,0.8436062806996681
0.3,0.1,0.5,1325,eta_bench,F,0.6915566893980277
0.3,0.1,0.5,1325,eta_bench,ACC,0.5814247669773636
0.3,0.1,0.5,9107,eta0,AUC,0.8426538629419467
0.3,0.1,0.5,9107,eta0,F,0.9275736084246723
0.3,0.1,0.5,9107,eta0,ACC,0.8717899942933232
0.3,0.1,0.5,9107,eta0_bench,AUC,0.8426538629419467
0.3,0.1,0.5,9107,eta0_bench,F,0.8105022831050227
0.3,0.1,0.5,9107,eta0_bench,ACC,0.7158074947688796
0.3,0.1,0.5,9107,eta1,AUC,0.8392139748652624
0.3,0.1,0.5,9107,eta1,F,0.9415605976757057
0.3,0.1,0.5,9107,eta1,ACC,0.8918365256580969
