a,b,c,model,f,std
0.7,0.5,0.1,eta0,0.849,0.003
0.7,0.5,0.1,eta0_bench,0.815,0.002
0.7,0.5,0.1,eta1,0.972,0.0
0.7,0.5,0.1,eta1_bench,0.001,0.001
0.7,0.5,0.1,eta_bench,0.907,0.002
0.7,0.5,0.1,gemma,0.934,0.001
0.7,0.5,0.2,eta,0.94,0.0
0.7,0.5,0.2,eta0,0.862,0.004
0.7,0.5,0.2,eta0_bench,0.841,0.002
0.7,0.5,0.2,eta1,0.972,0.0
0.7,0.5,0.2,eta1_bench,0.009,0.003
0.7,0.5,0.2,eta_bench,0.904,0.003
0.7,0.5,0.2,gemma,0.938,0.001
0.7,0.5,0.3,eta,0.944,0.001
0.7,0.5,0.3,eta0,0.874,0.004
0.7,0.5,0.3,eta0_bench,0.865,0.002
0.7,0.5,0.3,eta1,0.972,0.0
0.7,0.5,0.3,eta1_bench,0.028,0.006
0.7,0.5,0.3,eta_bench,0.899,0.003
0.7,0.5,0.3,gemma,0.943,0.001
0.7,0.5,0.4,eta,0.948,0.001
0.7,0.5,0.4,eta0,0.887,0.004
0.7,0.5,0.4,eta0_bench,0.885,0.002
0.7,0.5,0.4,eta1,0.972,0.0
0.7,0.5,0.4,eta1_bench,0.055,0.008
0.7,0.5,0.4,eta_bench,0.895,0.003
0.7,0.5,0.4,gemma,0.947,0.001
0.7,0.5,0.5,eta,0.953,0.001
0.7,0.5,0.5,eta0,0.9,0.003
0.7,0.5,0.5,eta0_bench,0.9,0.004
0.7,0.5,0.5,eta1,0.972,0.0
0.7,0.5,0.5,eta1_bench,0.082,0.011
0.7,0.5,0.5,eta_bench,0.89,0.003
0.7,0.5,0.5,gemma,0.952,0.001
0.7,0.5,0.6,eta,0.957,0.001
0.7,0.5,0.6,eta0,0.915,0.004
0.7,0.5,0.6,eta0_bench,0.914,0.004
0.7,0.5,0.6,eta1,0.972,0.0
0.7,0.5,0.6,eta1_bench,0.106,0.014
0.7,0.5,0.6,eta_bench,0.884,0.003
0.7,0.5,0.6,gemma,0.956,0.001
0.7,0.5,0.7,eta,0.962,0.0
0.7,0.5,0.7,eta0,0.932,0.003
0.7,0.5,0.7,eta0_bench,0.924,0.004
0.7,0.5,0.7,eta1,0.972,0.0
0.7,0.5,0.7,eta1_bench,0.128,0.014
0.7,0.5,0.7,eta_bench,0.879,0.003
0.7,0.5,0.7,gemma,0.961,0.001
0.7,0.5,0.8,eta,0.967,0.0
0.7,0.5,0.8,eta0,0.95,0.002
0.7,0.5,0.8,eta0_bench,0.931,0.005
0.7,0.5,0.8,eta1,0.972,0.0
0.7,0.5,0.8,eta1_bench,0.146,0.015
0.7,0.5,0.8,eta_bench,0.872,0.003
0.7,0.5,0.8,gemma,0.967,0.001
0.7,0.5,0.9,eta,0.972,0.0
0.7,0.5,0.9,eta0,0.972,0.002
0.7,0.5,0.9,eta0_bench,0.937,0.005
0.7,0.5,0.9,eta1,0.972,0.0
0.7,0.5,0.9,eta1_bench,0.159,0.012
0.7,0.5,0.9,eta_bench,0.866,0.003
0.7,0.5,0.9,gemma,0.972,0.001
