a,b,c,model,accuracy,std
0.7,0.5,0.1,eta0,0.78,0.007
0.7,0.5,0.1,eta0_bench,0.695,0.005
0.7,0.5,0.1,eta1,0.946,0.001
0.7,0.5,0.1,eta1_bench,0.054,0.001
0.7,0.5,0.1,eta_bench,0.843,0.004
0.7,0.5,0.1,gemma,0.879,0.001
0.7,0.5,0.2,eta,0.889,0.001
0.7,0.5,0.2,eta0,0.793,0.005
0.7,0.5,0.2,eta0_bench,0.739,0.004
0.7,0.5,0.2,eta1,0.946,0.001
0.7,0.5,0.2,eta1_bench,0.058,0.002
0.7,0.5,0.2,eta_bench,0.837,0.004
0.7,0.5,0.2,gemma,0.886,0.001
0.7,0.5,0.3,eta,0.896,0.001
0.7,0.5,0.3,eta0,0.804,0.005
0.7,0.5,0.3,eta0_bench,0.778,0.003
0.7,0.5,0.3,eta1,0.946,0.001
0.7,0.5,0.3,eta1_bench,0.067,0.003
0.7,0.5,0.3,eta_bench,0.83,0.004
0.7,0.5,0.3,gemma,0.894,0.001
0.7,0.5,0.4,eta,0.903,0.001
0.7,0.5,0.4,eta0,0.817,0.006
0.7,0.5,0.4,eta0_bench,0.809,0.003
0.7,0.5,0.4,eta1,0.946,0.001
0.7,0.5,0.4,eta1_bench,0.08,0.004
0.7,0.5,0.4,eta_bench,0.822,0.005
0.7,0.5,0.4,gemma,0.902,0.001
0.7,0.5,0.5,eta,0.911,0.001
0.7,0.5,0.5,eta0,0.832,0.004
0.7,0.5,0.5,eta0_bench,0.832,0.006
0.7,0.5,0.5,eta1,0.946,0.001
0.7,0.5,0.5,eta1_bench,0.094,0.006
0.7,0.5,0.5,eta_bench,0.814,0.005
0.7,0.5,0.5,gemma,0.909,0.001
0.7,0.5,0.6,eta,0.919,0.001
0.7,0.5,0.6,eta0,0.852,0.005
0.7,0.5,0.6,eta0_bench,0.853,0.007
0.7,0.5,0.6,eta1,0.946,0.001
0.7,0.5,0.6,eta1_bench,0.106,0.008
0.7,0.5,0.6,eta_bench,0.805,0.004
0.7,0.5,0.6,gemma,0.918,0.001
0.7,0.5,0.7,eta,0.928,0.001
0.7,0.5,0.7,eta0,0.877,0.005
0.7,0.5,0.7,eta0_bench,0.868,0.007
0.7,0.5,0.7,eta1,0.946,0.001
