a,b,c,model,accuracy,std
0.7,0.1,0.5,eta0,0.878,0.004
0.7,0.1,0.5,eta0_bench,0.724,0.007
0.7,0.1,0.5,eta1,0.946,0.001
0.7,0.1,0.5,eta1_bench,0.14,0.018
0.7,0.1,0.5,eta_bench,0.476,0.008
0.7,0.1,0.5,gemma,0.917,0.002
0.7,0.2,0.5,eta,0.919,0.001
0.7,0.2,0.5,eta0,0.872,0.002
0.7,0.2,0.5,eta0_bench,0.824,0.004
0.7,0.2,0.5,eta1,0.946,0.001
0.7,0.2,0.5,eta1_bench,0.134,0.011
0.7,0.2,0.5,eta_bench,0.631,0.004
0.7,0.2,0.5,gemma,0.916,0.001
0.7,0.3,0.5,eta,0.916,0.001
0.7,0.3,0.5,eta0,0.861,0.002
0.7,0.3,0.5,eta0_bench,0.848,0.005
0.7,0.3,0.5,eta1,0.946,0.001
0.7,0.3,0.5,eta1_bench,0.121,0.009
0.7,0.3,0.5,eta_bench,0.719,0.005
0.7,0.3,0.5,gemma,0.914,0.001
0.7,0.4,0.5,eta,0.914,0.001
0.7,0.4,0.5,eta0,0.847,0.003
0.7,0.4,0.5,eta0_bench,0.848,0.006
0.7,0.4,0.5,eta1,0.946,0.001
0.7,0.4,0.5,eta1_bench,0.105,0.008
0.7,0.4,0.5,eta_bench,0.775,0.005
0.7,0.4,0.5,gemma,0.912,0.001
0.7,0.5,0.5,eta,0.911,0.001
0.7,0.5,0.5,eta0,0.832,0.004
0.7,0.5,0.5,eta0_bench,0.832,0.006
0.7,0.5,0.5,eta1,0.946,0.001
0.7,0.5,0.5,eta1_bench,0.094,0.006
0.7,0.5,0.5,eta_bench,0.814,0.005
0.7,0.5,0.5,gemma,0.909,0.001
0.7,0.6,0.5,eta,0.908,0.001
0.7,0.6,0.5,eta0,0.814,0.005
0.7,0.6,0.5,eta0_bench,0.806,0.003
0.7,0.6,0.5,eta1,0.946,0.001
0.7,0.6,0.5,eta1_bench,0.085,0.005
0.7,0.6,0.5,eta_bench,0.839,0.004
0.7,0.6,0.5,gemma,0.906,0.001
0.7,0.7,0.5,eta,0.905,0.001
0.7,0.7,0.5,eta0,0.792,0.007
0.7,0.7,0.5,eta0_bench,0.761,0.004
0.7,0.7,0.5,eta1,0.946,0.001
0.7,0.7,0.5,eta1_bench,0.078,0.004
0.7,0.7,0.5,eta_bench,0.856,0.003
0.7,0.7,0.5,gemma,0.903,0.001
0.7,0.8,0.5,eta,0.901,0.001
0.7,0.8,0.5,eta0,0.774,0.009
0.7,0.8,0.5,eta0_bench,0.689,0.005
0.7,0.8,0.5,eta1,0.946,0.001
0.7,0.8,0.5,eta1_bench,0.072,0.004
0.7,0.8,0.5,eta_bench,0.869,0.003
0.7,0.8,0.5,gemma,0.899,0.001
0.7,0.9,0.5,eta,0.897,0.001
0.7,0.9,0.5,eta0,0.78,0.016
0.7,0.9,0.5,eta0_bench,0.55,0.004
0.7,0.9,0.5,eta1,0.946,0.001
0.7,0.9,0.5,eta1_bench,0.069,0.004
0.7,0.9,0.5,eta_bench,0.876,0.002
0.7,0.9,0.5,gemma,0.896,0.001
