a,b,c,model,f,std
0.5,0.7,0.5,gemma,0.302,0.01
0.5,0.8,0.5,eta,0.783,0.002
0.5,0.8,0.5,eta0,0.717,0.013
0.5,0.8,0.5,eta0_bench,0.682,0.019
0.5,0.8,0.5,eta1,0.948,0.0
0.5,0.8,0.5,eta1_bench,0.167,0.015
0.5,0.8,0.5,eta_bench,0.189,0.006
0.5,0.8,0.5,gemma,0.287,0.009
0.5,0.9,0.5,eta,0.788,0.002
0.5,0.9,0.5,eta0,0.619,0.022
0.5,0.9,0.5,eta0_bench,0.541,0.017
0.5,0.9,0.5,eta1,0.948,0.0
0.5,0.9,0.5,eta1_bench,0.171,0.015
0.5,0.9,0.5,eta_bench,0.172,0.005
0.5,0.9,0.5,gemma,0.27,0.005
0.7,0.1,0.5,eta,0.775,0.002
0.7,0.1,0.5,eta0,0.788,0.008
0.7,0.1,0.5,eta0_bench,0.708,0.013
0.7,0.1,0.5,eta1,0.97,0.0
0.7,0.1,0.5,eta1_bench,0.034,0.003
0.7,0.1,0.5,eta_bench,0.165,0.006
0.7,0.1,0.5,gemma,0.321,0.007
0.7,0.2,0.5,eta,0.781,0.002
0.7,0.2,0.5,eta0,0.81,0.011
0.7,0.2,0.5,eta0_bench,0.781,0.014
0.7,0.2,0.5,eta1,0.97,0.0
0.7,0.2,0.5,eta1_bench,0.067,0.01
0.7,0.2,0.5,eta_bench,0.206,0.009
0.7,0.2,0.5,gemma,0.332,0.011
0.7,0.3,0.5,eta,0.785,0.002
0.7,0.3,0.5,eta0,0.811,0.009
0.7,0.3,0.5,eta0_bench,0.802,0.006
0.7,0.3,0.5,eta1,0.97,0.0
0.7,0.3,0.5,eta1_bench,0.09,0.011
0.7,0.3,0.5,eta_bench,0.217,0.008
0.7,0.3,0.5,gemma,0.335,0.011
0.7,0.4,0.5,eta,0.788,0.001
0.7,0.4,0.5,eta0,0.806,0.008
0.7,0.4,0.5,eta0_bench,0.801,0.006
0.7,0.4,0.5,eta1,0.97,0.0
0.7,0.4,0.5,eta1_bench,0.103,0.01
0.7,0.4,0.5,eta_bench,0.217,0.008
0.7,0.4,0.5,gemma,0.328,0.011
0.7,0.5,0.5,eta,0.792,0.001
0.7,0.5,0.5,eta0,0.797,0.007
0.7,0.5,0.5,eta0_bench,0.798,0.007
0.7,0.5,0.5,eta1,0.97,0.0
0.7,0.5,0.5,eta1_bench,0.116,0.009
0.7,0.5,0.5,eta_bench,0.215,0.007
0.7,0.5,0.5,gemma,0.324,0.008
0.7,0.6,0.5,eta,0.794,0.001
0.7,0.6,0.5,eta0,0.777,0.011
0.7,0.6,0.5,eta0_bench,0.776,0.012
0.7,0.6,0.5,eta1,0.97,0.0
0.7,0.6,0.5,eta1_bench,0.129,0.014
0.7,0.6,0.5,eta_bench,0.207,0.009
0.7,0.6,0.5,gemma,0.315,0.008
0.7,0.7,0.5,eta,0.798,0.001
0.7,0.7,0.5,eta0,0.752,0.014
0.7,0.7,0.5,eta0_bench,0.741,0.013
0.7,0.7,0.5,eta1,0.97,0.0
0.7,0.7,0.5,eta1_bench,0.136,0.016
0.7,0.7,0.5,eta_bench,0.194,0.009
0.7,0.7,0.5,gemma,0.303,0.011
0.7,0.8,0.5,eta,0.803,0.002
0.7,0.8,0.5,eta0,0.717,0.013
0.7,0.8,0.5,eta0_bench,0.682,0.019
0.7,0.8,0.5,eta1,0.97,0.0
0.7,0.8,0.5,eta1_bench,0.142,0.015
0.7,0.8,0.5,eta_bench,0.178,0.005
0.7,0.8,0.5,gemma,0.288,0.008
0.7,0.9,0.5,eta,0.808,0.002
0.7,0.9,0.5,eta0,0.619,0.022
0.7,0.9,0.5,eta0_bench,0.541,0.017
0.7,0.9,0.5,eta1,0.97,0.0
0.7,0.9,0.5,eta1_bench,0.147,0.016
0.7,0.9,0.5,eta_bench,0.163,0.005
0.7,0.9,0.5,gemma,0.27,0.006
