a,b,c,model,accuracy,std
0.7,0.1,0.5,eta0,0.899,0.003
0.7,0.1,0.5,eta0_bench,0.874,0.004
0.7,0.1,0.5,eta1,0.942,0.0
0.7,0.1,0.5,eta1_bench,0.073,0.002
0.7,0.1,0.5,eta_bench,0.38,0.002
0.7,0.1,0.5,gemma,0.437,0.002
0.7,0.2,0.5,eta,0.679,0.002
0.7,0.2,0.5,eta0,0.913,0.004
0.7,0.2,0.5,eta0_bench,0.905,0.005
0.7,0.2,0.5,eta1,0.942,0.0
0.7,0.2,0.5,eta1_bench,0.089,0.005
0.7,0.2,0.5,eta_bench,0.397,0.004
0.7,0.2,0.5,gemma,0.443,0.005
0.7,0.3,0.5,eta,0.684,0.003
0.7,0.3,0.5,eta0,0.919,0.004
0.7,0.3,0.5,eta0_bench,0.918,0.002
0.7,0.3,0.5,eta1,0.942,0.0
0.7,0.3,0.5,eta1_bench,0.1,0.006
0.7,0.3,0.5,eta_bench,0.403,0.003
0.7,0.3,0.5,gemma,0.446,0.005
0.7,0.4,0.5,eta,0.689,0.002
0.7,0.4,0.5,eta0,0.925,0.003
0.7,0.4,0.5,eta0_bench,0.924,0.002
0.7,0.4,0.5,eta1,0.942,0.0
0.7,0.4,0.5,eta1_bench,0.106,0.005
0.7,0.4,0.5,eta_bench,0.405,0.003
0.7,0.4,0.5,gemma,0.444,0.004
0.7,0.5,0.5,eta,0.695,0.002
0.7,0.5,0.5,eta0,0.931,0.003
0.7,0.5,0.5,eta0_bench,0.931,0.003
0.7,0.5,0.5,eta1,0.942,0.0
0.7,0.5,0.5,eta1_bench,0.112,0.005
0.7,0.5,0.5,eta_bench,0.406,0.003
0.7,0.5,0.5,gemma,0.443,0.003
0.7,0.6,0.5,eta,0.699,0.003
0.7,0.6,0.5,eta0,0.936,0.004
0.7,0.6,0.5,eta0_bench,0.934,0.004
0.7,0.6,0.5,eta1,0.942,0.0
0.7,0.6,0.5,eta1_bench,0.119,0.007
