a,b,c,seed,model,metric,value
0.3,0.1,0.5,644,eta_bench,AUC,0.6715601802529159
0.3,0.1,0.5,644,eta_bench,F,0.44660810667795536
0.3,0.1,0.5,644,eta_bench,ACC,0.5535348360655737
0.3,0.1,0.5,3247,eta0,AUC,0.9655806161985623
0.3,0.1,0.5,3247,eta0,F,0.9579972183588318
0.3,0.1,0.5,3247,eta0,ACC,0.9263893402664933
0.3,0.1,0.5,3247,eta0_bench,AUC,0.9655806161985623
0.3,0.1,0.5,3247,eta0_bench,F,0.939802506646411
0.3,0.1,0.5,3247,eta0_bench,ACC,0.896977575560611
0.3,0.1,0.5,3247,eta1,AUC,0.4855757170640436
0.3,0.1,0.5,3247,eta1,F,0.2559118885649498
0.3,0.1,0.5,3247,eta1,ACC,0.5867218423893487
0.3,0.1,0.5,3247,eta1_bench,AUC,0.5769028868486368
0.3,0.1,0.5,3247,eta1_bench,F,0.22380691168403735
0.3,0.1,0.5,3247,eta1_bench,ACC,0.7454120187117669
0.3,0.1,0.5,3247,eta,AUC,0.6153395955302614
0.3,0.1,0.5,3247,eta,F,0.6886130599028603
0.3,0.1,0.5,3247,eta,ACC,0.6058743169398907
0.3,0.1,0.5,3247,eta_bench,AUC,0.6679639464254759
0.3,0.1,0.5,3247,eta_bench,F,0.46157012038275547
0.3,0.1,0.5,3247,eta_bench,ACC,0.553193306010929
0.3,0.1,0.5,9698,eta0,AUC,0.9673940958039469
0.3,0.1,0.5,9698,eta0,F,0.9628331642534353
0.3,0.1,0.5,9698,eta0,ACC,0.9345141371465714
0.3,0.1,0.5,9698,eta0_bench,AUC,0.9673940958039469
0.3,0.1,0.5,9698,eta0_bench,F,0.943913742551783
0.3,0.1,0.5,9698,eta0_bench,ACC,0.903639909002275
0.3,0.1,0.5,9698,eta1,AUC,0.4714600173529646
0.3,0.1,0.5,9698,eta1,F,0.24351821463734824
0.3,0.1,0.5,9698,eta1,ACC,0.5852824757106873
0.3,0.1,0.5,9698,eta1_bench,AUC,0.5746308437141248
0.3,0.1,0.5,9698,eta1_bench,F,0.21350259665320256
0.3,0.1,0.5,9698,eta1_bench,ACC,0.7547679021230659
