a,b,c,model,accuracy,std
0.7,0.5,0.1,eta0,0.931,0.005
0.7,0.5,0.1,eta0_bench,0.902,0.005
0.7,0.5,0.1,eta1,0.942,0.0
0.7,0.5,0.1,eta1_bench,0.128,0.009
0.7,0.5,0.1,eta_bench,0.523,0.003
0.7,0.5,0.1,gemma,0.532,0.004
0.7,0.5,0.2,eta,0.667,0.001
0.7,0.5,0.2,eta0,0.934,0.005
0.7,0.5,0.2,eta0_bench,0.921,0.005
0.7,0.5,0.2,eta1,0.942,0.0
0.7,0.5,0.2,eta1_bench,0.124,0.006
0.7,0.5,0.2,eta_bench,0.498,0.003
0.7,0.5,0.2,gemma,0.512,0.003
0.7,0.5,0.3,eta,0.672,0.003
0.7,0.5,0.3,eta0,0.935,0.003
0.7,0.5,0.3,eta0_bench,0.93,0.004
0.7,0.5,0.3,eta1,0.942,0.0
0.7,0.5,0.3,eta1_bench,0.118,0.007
0.7,0.5,0.3,eta_bench,0.47,0.004
0.7,0.5,0.3,gemma,0.49,0.005
0.7,0.5,0.4,eta,0.679,0.003
0.7,0.5,0.4,eta0,0.932,0.004
0.7,0.5,0.4,eta0_bench,0.931,0.004
0.7,0.5,0.4,eta1,0.942,0.0
0.7,0.5,0.4,eta1_bench,0.115,0.006
0.7,0.5,0.4,eta_bench,0.44,0.003
0.7,0.5,0.4,gemma,0.467,0.004
0.7,0.5,0.5,eta,0.695,0.002
0.7,0.5,0.5,eta0,0.931,0.003
0.7,0.5,0.5,eta0_bench,0.931,0.003
0.7,0.5,0.5,eta1,0.942,0.0
0.7,0.5,0.5,eta1_bench,0.112,0.005
0.7,0.5,0.5,eta_bench,0.406,0.003
0.7,0.5,0.5,gemma,0.443,0.003
0.7,0.5,0.6,eta,0.718,0.003
0.7,0.5,0.6,eta0,0.925,0.004
0.7,0.5,0.6,eta0_bench,0.925,0.003
0.7,0.5,0.6,eta1,0.942,0.0
0.7,0.5,0.6,eta1_bench,0.11,0.004
0.7,0.5,0.6,eta_bench,0.369,0.001
0.7,0.5,0.6,gemma,0.417,0.005
0.7,0.5,0.7,eta,0.755,0.003
0.7,0.5,0.7,eta0,0.918,0.004
0.7,0.5,0.7,eta0_bench,0.916,0.003
0.7,0.5,0.7,eta1,0.942,0.0
0.7,0.5,0.7,eta1_bench,0.107,0.003
0.7,0.5,0.7,eta_bench,0.324,0.002
0.7,0.5,0.7,gemma,0.389,0.005
0.7,0.5,0.8,eta,0.805,0.001
0.7,0.5,0.8,eta0,0.907,0.005
0.7,0.5,0.8,eta0_bench,0.897,0.004
0.7,0.5,0.8,eta1,0.942,0.0
0.7,0.5,0.8,eta1_bench,0.104,0.004
0.7,0.5,0.8,eta_bench,0.275,0.002
0.7,0.5,0.8,gemma,0.36,0.006
0.7,0.5,0.9,eta,0.869,0.001
0.7,0.5,0.9,eta0,0.891,0.005
0.7,0.5,0.9,eta0_bench,0.857,0.005
0.7,0.5,0.9,eta1,0.942,0.0
0.7,0.5,0.9,eta1_bench,0.102,0.003
0.7,0.5,0.9,eta_bench,0.216,0.002
0.7,0.5,0.9,gemma,0.336,0.006
