a,b,c,seed,model,metric,value
0.3,0.1,0.5,9436,eta,ACC,0.6687455452601568
0.3,0.1,0.5,9436,eta_bench,AUC,0.550674582893512
0.3,0.1,0.5,9436,eta_bench,F,0.5890926187118007
0.3,0.1,0.5,9436,eta_bench,ACC,0.5327868852459017
0.3,0.1,0.5,1668,eta0,AUC,0.4882648236223075
0.3,0.1,0.5,1668,eta0,F,0.22072072072072071
0.3,0.1,0.5,1668,eta0,ACC,0.6707897240723121
0.3,0.1,0.5,1668,eta0_bench,AUC,0.4882648236223075
0.3,0.1,0.5,1668,eta0_bench,F,0.22072072072072071
0.3,0.1,0.5,1668,eta0_bench,ACC,0.6707897240723121
0.3,0.1,0.5,1668,eta1,AUC,0.9041328307975482
0.3,0.1,0.5,1668,eta1,F,0.8982161594963275
0.3,0.1,0.5,1668,eta1,ACC,0.8341880341880342
0.3,0.1,0.5,1668,eta1_bench,AUC,0.6079900092621544
0.3,0.1,0.5,1668,eta1_bench,F,0.6919481623114512
0.3,0.1,0.5,1668,eta1_bench,ACC,0.5868945868945868
0.3,0.1,0.5,1668,eta,AUC,0.7156186740890689
0.3,0.1,0.5,1668,eta,F,0.716496001195904
0.3,0.1,0.5,1668,eta,ACC,0.6620634354953671
0.3,0.1,0.5,1668,eta_bench,AUC,0.6152371499801803
0.3,0.1,0.5,1668,eta_bench,F,0.6358301158301157
0.3,0.1,0.5,1668,eta_bench,ACC,0.5798289379900213
0.3,0.1,0.5,6404,eta0,AUC,0.4785203233744054
0.3,0.1,0.5,6404,eta0,F,0.11857142857142858
0.3,0.1,0.5,6404,eta0,ACC,0.7064700285442436
0.3,0.1,0.5,6404,eta0_bench,AUC,0.4785203233744054
0.3,0.1,0.5,6404,eta0_bench,F,0.11857142857142858
0.3,0.1,0.5,6404,eta0_bench,ACC,0.7064700285442436
0.3,0.1,0.5,6404,eta1,AUC,0.905270873769225
0.3,0.1,0.5,6404,eta1,F,0.8785899615281382
0.3,0.1,0.5,6404,eta1,ACC,0.8066951566951567
0.3,0.1,0.5,6404,eta1_bench,AUC,0.6191235833918363
0.3,0.1,0.5,6404,eta1_bench,F,0.6618031358885018
0.3,0.1,0.5,6404,eta1_bench,ACC,0.5575498575498575
0.3,0.1,0.5,6404,eta,AUC,0.6922025040307673
0.3,0.1,0.5,6404,eta,F,0.7115966634679266
0.3,0.1,0.5,6404,eta,ACC,0.6519066286528866
0.3,0.1,0.5,6404,eta_bench,AUC,0.5502387631222636
0.3,0.1,0.5,6404,eta_bench,F,0.5356932153392331
0.3,0.1,0.5,6404,eta_bench,ACC,0.5091767640769779
0.3,0.1,0.5,4431,eta0,AUC,0.47415965807885113
0.3,0.1,0.5,4431,eta0,F,0.06557377049180328
0.3,0.1,0.5,4431,eta0,ACC,0.7152711703139867
0.3,0.1,0.5,4431,eta0_bench,AUC,0.47415965807885113
0.3,0.1,0.5,4431,eta0_bench,F,0.06557377049180328
0.3,0.1,0.5,4431,eta0_bench,ACC,0.7152711703139867
0.3,0.1,0.5,4431,eta1,AUC,0.9089115788728489
0.3,0.1,0.5,4431,eta1,F,0.8908289241622575
0.3,0.1,0.5,4431,eta1,ACC,0.8236467236467236
0.3,0.1,0.5,4431,eta1_bench,AUC,0.6243186122107052
0.3,0.1,0.5,4431,eta1_bench,F,0.6802575107296138
0.3,0.1,0.5,4431,eta1_bench,ACC,0.5754985754985755
0.3,0.1,0.5,4431,eta,AUC,0.698532834052636
0.3,0.1,0.5,4431,eta,F,0.7261878774648912
0.3,0.1,0.5,4431,eta,ACC,0.664736279401283
0.3,0.1,0.5,4431,eta_bench,AUC,0.5594452948584332
0.3,0.1,0.5,4431,eta_bench,F,0.5875079264426124
0.3,0.1,0.5,4431,eta_bench,ACC,0.5363506771204561
0.3,0.1,0.5,6604,eta0,AUC,0.47952283452999617
0.3,0.1,0.5,6604,eta0,F,0.14516129032258066
0.3,0.1,0.5,6604,eta0,ACC,0.6974310180780209
0.3,0.1,0.5,6604,eta0_bench,AUC,0.47952283452999617
0.3,0.1,0.5,6604,eta0_bench,F,0.14516129032258066
0.3,0.1,0.5,6604,eta0_bench,ACC,0.6974310180780209
0.3,0.1,0.5,6604,eta1,AUC,0.920552691039308
0.3,0.1,0.5,6604,eta1,F,0.894257145385364
0.3,0.1,0.5,6604,eta1,ACC,0.8297720797720798
0.3,0.1,0.5,6604,eta1_bench,AUC,0.6509913676131369
0.3,0.1,0.5,6604,eta1_bench,F,0.7229190421892816
0.3,0.1,0.5,6604,eta1_bench,ACC,0.6192307692307693
0.3,0.1,0.5,6604,eta,AUC,0.6948876757615032
0.3,0.1,0.5,6604,eta,F,0.6995461422087745
0.3,0.1,0.5,6604,eta,ACC,0.6461154668567356
0.3,0.1,0.5,6604,eta_bench,AUC,0.5468947641221612
0.3,0.1,0.5,6604,eta_bench,F,0.49463890119627824
0.3,0.1,0.5,6604,eta_bench,ACC,0.49189237348538845
0.3,0.1,0.5,9964,eta0,AUC,0.455386818958077
0.3,0.1,0.5,9964,eta0,F,0.04635761589403973
0.3,0.1,0.5,9964,eta0,ACC,0.7259752616555661
0.3,0.1,0.5,9964,eta0_bench,AUC,0.455386818958077
0.3,0.1,0.5,9964,eta0_bench,F,0.04635761589403973
0.3,0.1,0.5,9964,eta0_bench,ACC,0.7259752616555661
0.3,0.1,0.5,9964,eta1,AUC,0.9130990903030554
0.3,0.1,0.5,9964,eta1,F,0.8998334939970204
0.3,0.1,0.5,9964,eta1,ACC,0.8371794871794872
0.3,0.1,0.5,9964,eta1_bench,AUC,0.6798277504763814
0.3,0.1,0.5,9964,eta1_bench,F,0.7400655469070053
0.3,0.1,0.5,9964,eta1_bench,ACC,0.6384615384615384
0.3,0.1,0.5,9964,eta,AUC,0.7059185960347047
0.3,0.1,0.5,9964,eta,F,0.7359425493716337
0.3,0.1,0.5,9964,eta,ACC,0.6723984319315752
0.3,0.1,0.5,9964,eta_bench,AUC,0.5196910157868013
0.3,0.1,0.5,9964,eta_bench,F,0.39850951166895465
0.3,0.1,0.5,9964,eta_bench,ACC,0.4534925160370634
0.3,0.1,0.5,2660,eta0,AUC,0.4743355422627027
0.3,0.1,0.5,2660,eta0,F,0.1140794223826715
0.3,0.1,0.5,2660,eta0,ACC,0.7081351094196003
0.3,0.1,0.5,2660,eta0_bench,AUC,0.4743355422627027
0.3,0.1,0.5,2660,eta0_bench,F,0.1140794223826715
0.3,0.1,0.5,2660,eta0_bench,ACC,0.7081351094196003
0.3,0.1,0.5,2660,eta1,AUC,0.910226790044069
0.3,0.1,0.5,2660,eta1,F,0.8822793854948197
0.3,0.1,0.5,2660,eta1,ACC,0.8122507122507122
0.3,0.1,0.5,2660,eta1_bench,AUC,0.6367740344056588
0.3,0.1,0.5,2660,eta1_bench,F,0.7075471698113206
0.3,0.1,0.5,2660,eta1_bench,ACC,0.6025641025641025
0.3,0.1,0.5,2660,eta,AUC,0.7038709912236163
0.3,0.1,0.5,2660,eta,F,0.735356990166738
0.3,0.1,0.5,2660,eta,ACC,0.6691019244476123
0.3,0.1,0.5,2660,eta_bench,AUC,0.5719401868071423
0.3,0.1,0.5,2660,eta_bench,F,0.6360856269113151
0.3,0.1,0.5,2660,eta_bench,ACC,0.5653064861012117
0.3,0.1,0.5,6060,eta0,AUC,0.47448129946563344
0.3,0.1,0.5,6060,eta0,F,0.1507472384665367
0.3,0.1,0.5,6060,eta0,ACC,0.6891056137012369
0.3,0.1,0.5,6060,eta0_bench,AUC,0.47448129946563344
0.3,0.1,0.5,6060,eta0_bench,F,0.1507472384665367
0.3,0.1,0.5,6060,eta0_bench,ACC,0.6891056137012369
0.3,0.1,0.5,6060,eta1,AUC,0.9124851776032848
0.3,0.1,0.5,6060,eta1,F,0.8995878277646234
0.3,0.1,0.5,6060,eta1,ACC,0.8368945868945868
0.3,0.1,0.5,6060,eta1_bench,AUC,0.6407058410567115
0.3,0.1,0.5,6060,eta1_bench,F,0.7034264628360569
0.3,0.1,0.5,6060,eta1_bench,ACC,0.5992877492877493
0.3,0.1,0.5,6060,eta,AUC,0.6906901311335587
0.3,0.1,0.5,6060,eta,F,0.7410056806227647
0.3,0.1,0.5,6060,eta,ACC,0.6709729151817534
0.3,0.1,0.5,6060,eta_bench,AUC,0.5340209438453967
